S/N,REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
1,WESTERN,SHAMA AHANTA EAST,1993,MAIZE,366.0,0.95,348.0
2,WESTERN,WEST AHANTA,1993,MAIZE,1513.0,1.0,1513.0
3,WESTERN,MPORHOR WASSA EAST,1993,MAIZE,2948.0,1.08,3184.0
4,WESTERN,WASSA WEST,1993,MAIZE,3672.0,1.0,3672.0
5,WESTERN,EAST NZEMA,1993,MAIZE,1050.0,0.85,893.0
6,WESTERN,JOMORO,1993,MAIZE,850.0,0.85,723.0
7,WESTERN,WASSA AMENFI,1993,MAIZE,7092.0,1.15,8156.0
8,WESTERN,AOWIN -SUAMAN,1993,MAIZE,5710.0,1.08,6168.0
9,WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,MAIZE,4392.0,1.16,5095.0
10,WESTERN,SEFWI-WIAWSO,1993,MAIZE,6713.0,1.2,8056.0
11,WESTERN,JUABESO-BIA,1993,MAIZE,8254.0,1.25,10302.0
12,WESTERN,SHAMA AHANTA EAST,1993,RICE,55.0,1.09,60.0
13,WESTERN,WEST AHANTA,1993,RICE,30.0,1.0,30.0
14,WESTERN,MPORHOR WASSA EAST,1993,RICE,232.0,1.15,267.0
15,WESTERN,WASSA WEST,1993,RICE,980.0,1.18,1156.0
16,WESTERN,EAST NZEMA,1993,RICE,380.0,1.0,380.0
17,WESTERN,JOMORO,1993,RICE,240.0,1.0,240.0
18,WESTERN,WASSA AMENFI,1993,RICE,2163.0,1.2,2597.0
19,WESTERN,AOWIN -SUAMAN,1993,RICE,1135.0,1.2,1360.0
20,WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,RICE,1010.0,1.18,1188.0
21,WESTERN,SEFWI-WIAWSO,1993,RICE,1325.0,1.2,1590.0
22,WESTERN,JUABESO-BIA,1993,RICE,2010.0,1.3,2612.0
23,WESTERN,SHAMA AHANTA EAST,1993,CASSAVA,1632.0,7.4,12076.0
24,WESTERN,WEST AHANTA,1993,CASSAVA,4704.0,8.5,39984.0
25,WESTERN,MPORHOR WASSA EAST,1993,CASSAVA,4873.0,8.7,42395.0
26,WESTERN,WASSA WEST,1993,CASSAVA,4322.0,7.7,33279.0
27,WESTERN,EAST NZEMA,1993,CASSAVA,3450.0,8.5,29325.0
28,WESTERN,JOMORO,1993,CASSAVA,4804.0,8.8,42275.0
29,WESTERN,WASSA AMENFI,1993,CASSAVA,6145.0,9.0,55305.0
30,WESTERN,AOWIN -SUAMAN,1993,CASSAVA,5862.0,9.1,53353.0
31,WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,CASSAVA,5294.0,9.2,48705.0
32,WESTERN,SEFWI-WIAWSO,1993,CASSAVA,5244.0,9.9,51916.0
33,WESTERN,JUABESO-BIA,1993,CASSAVA,5740.0,10.4,59717.0
34,WESTERN,WEST AHANTA,1993,YAM,25.0,3.8,95.0
35,WESTERN,MPORHOR WASSA EAST,1993,YAM,147.0,4.0,588.0
36,WESTERN,WASSA WEST,1993,YAM,124.0,3.54,439.0
37,WESTERN,WASSA AMENFI,1993,YAM,865.0,5.4,4671.0
38,WESTERN,AOWIN -SUAMAN,1993,YAM,716.0,4.9,3508.0
39,WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,YAM,1440.0,5.5,7920.0
40,WESTERN,SEFWI-WIAWSO,1993,YAM,1620.0,5.7,9234.0
41,WESTERN,JUABESO-BIA,1993,YAM,3913.0,5.8,22695.0
42,CENTRAL,UPPER DENKYIRA,1993,MAIZE,6480.0,1.2,7774.0
43,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,MAIZE,3883.0,1.2,4657.0
44,CENTRAL,ASSIN NORTH,1993,MAIZE,5925.0,1.2,7110.0
45,CENTRAL,ABURA-ASEBU-KWAMANKESE,1993,MAIZE,4675.0,1.2,5610.0
46,CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,MAIZE,4121.0,1.2,4944.0
47,CENTRAL,MFANTSIMAN,1993,MAIZE,7645.0,1.2,9173.0
48,CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,MAIZE,4490.0,1.2,5388.0
49,CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,MAIZE,3592.0,1.2,4308.0
50,CENTRAL,AWUTU-EFUTU-SENYA,1993,MAIZE,13451.0,1.2,16140.0
51,CENTRAL,GOMOA,1993,MAIZE,2304.0,1.2,2764.0
52,CENTRAL,CAPE COAST,1993,MAIZE,3944.0,1.2,4732.0
53,CENTRAL,AGONA,1993,MAIZE,6910.0,1.2,8290.0
54,CENTRAL,UPPER DENKYIRA,1993,RICE,197.0,1.12,220.0
55,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,RICE,90.0,1.11,100.0
56,CENTRAL,ASSIN NORTH,1993,RICE,233.0,1.07,250.0
57,CENTRAL,UPPER DENKYIRA,1993,CASSAVA,5278.0,8.9,46974.0
58,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,CASSAVA,4061.0,8.9,36142.0
59,CENTRAL,ASSIN NORTH,1993,CASSAVA,4986.0,8.9,44375.0
60,CENTRAL,ABURA-ASEBU-KWAMANKESE,1993,CASSAVA,3515.0,8.9,31284.0
61,CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,CASSAVA,4004.0,8.9,35636.0
62,CENTRAL,MFANTSIMAN,1993,CASSAVA,5842.0,8.9,51994.0
63,CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,CASSAVA,4064.0,8.9,36170.0
64,CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,CASSAVA,3112.0,8.9,27697.0
65,CENTRAL,AWUTU-EFUTU-SENYA,1993,CASSAVA,5217.0,8.9,46431.0
66,CENTRAL,GOMOA,1993,CASSAVA,2134.0,8.9,18993.0
67,CENTRAL,CAPE COAST,1993,CASSAVA,3777.0,8.9,33615.0
68,CENTRAL,AGONA,1993,CASSAVA,5510.0,8.9,49039.0
69,CENTRAL,UPPER DENKYIRA,1993,YAM,463.0,5.2,2408.0
70,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,YAM,392.0,5.2,2038.0
71,CENTRAL,ASSIN NORTH,1993,YAM,322.0,5.2,1674.0
72,CENTRAL,ABURA-ASEBU-KWAMANKESE,1993,YAM,223.0,5.2,1160.0
73,CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,YAM,340.0,5.2,1768.0
74,CENTRAL,MFANTSIMAN,1993,YAM,221.0,5.2,1149.0
75,CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,YAM,34.0,5.21,177.0
76,CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,YAM,214.0,5.2,1113.0
77,CENTRAL,AWUTU-EFUTU-SENYA,1993,YAM,382.0,5.2,1986.0
78,CENTRAL,GOMOA,1993,YAM,48.0,5.21,250.0
79,CENTRAL,AGONA,1993,YAM,461.0,5.2,2397.0
80,VOLTA,NORTH TONGU,1993,MAIZE,3540.0,0.6,2120.0
81,VOLTA,SOUTH TONGU (SOGAKOPE),1993,MAIZE,2000.0,0.6,1200.0
82,VOLTA,AKATSI,1993,MAIZE,3300.0,0.6,1980.0
83,VOLTA,KETA,1993,MAIZE,1500.0,0.6,900.0
84,VOLTA,DENU/DZODZE(KETU),1993,MAIZE,3900.0,1.2,4680.0
85,VOLTA,KPANDO,1993,MAIZE,3200.0,1.7,5440.0
86,VOLTA,HOHOE MUNICIPAL,1993,MAIZE,5500.0,1.7,9350.0
87,VOLTA,JASIKAN,1993,MAIZE,4500.0,1.6,7200.0
88,VOLTA,KADJEBI,1993,MAIZE,4000.0,1.8,7200.0
89,VOLTA,NKWANTA,1993,MAIZE,4140.0,1.8,7450.0
90,VOLTA,KETE-KRACHI,1993,MAIZE,5800.0,1.8,10440.0
91,VOLTA,HO MUNICIPAL,1993,MAIZE,5100.0,1.4,7140.0
92,VOLTA,NORTH TONGU,1993,RICE,600.0,3.6,2160.0
93,VOLTA,DENU/DZODZE(KETU),1993,RICE,450.0,4.31,1940.0
94,VOLTA,KPANDO,1993,RICE,300.0,3.7,1110.0
